   192
ANGSTROM
O      0.000000    0.000000    0.000000 1
O      0.919217   -0.022920   -8.450093 1
O     -1.724066    1.460145   -8.010156 1
O     -3.131608   -3.993985   -1.175014 1
O     -3.575435    3.821222    0.476677 1
O      2.058211    1.222908    0.808900 1
O     -0.171918   -4.818154    3.190816 1
O      5.585465   -6.966273   -1.744137 1
O     -3.801663   -5.313055   -4.603741 1
O     -5.848549   -0.368471    0.804106 1
O      6.267244   -3.433135    1.944561 1
O     -5.851812    2.382239    5.977849 1
O      5.106282    2.688942    3.955392 1
O      4.191571    3.529800    1.042527 1
O     -5.369146    0.736128   -1.981083 1
O     -5.309487   -1.738650   -3.775244 1
O     -2.205496    7.310768   -2.912280 1
O      3.058654   -2.012658    0.936865 1
O     -0.911041    2.252716   -2.441468 1
O      2.482663   -5.640685   -0.919291 1
O     -1.450045    6.209112    0.259215 1
O      4.517681   -4.533533   -5.810835 1
O      1.109285    3.609377    4.744790 1
O      2.079278    3.595246   -2.044517 1
O     -2.355989   -1.642695    2.108910 1
O     -2.816920    2.698885   -4.728649 1
O     -4.116354    0.351301   -4.825207 1
O     -1.012904   -6.842255   -3.615850 1
O     -7.690141   -0.538108   -3.172179 1
O      2.045258   -1.315898   -3.718671 1
O     -0.888919    3.861820    2.860273 1
O     -4.946677    3.032704    4.049991 1
O      4.940438   -0.417838    2.759862 1
O     -2.894100    0.547975    0.232039 1
O      2.770660    2.724862   -4.818333 1
O     -1.711527   -0.505740   -3.842640 1
O     -2.075942   -4.336811    5.349924 1
O      3.773149    5.328635   -5.546292 1
O      4.928779   -1.387657    5.281926 1
O      0.338133   -3.288267   -4.022225 1
O      2.613760    4.976298    3.050372 1
O     -0.148082   -2.357505    3.735673 1
O      1.495432    4.612122    0.652248 1
O     -7.330445    1.499397    0.750110 1
O      0.505108   -2.294241    0.017977 1
O     -4.278958    3.907036   -3.345694 1
O      3.582746    1.897376   -1.230927 1
O      3.349674    1.089666    4.980911 1
O     -1.876063   -6.787978    5.319376 1
O     -3.801321   -2.507804   -5.437804 1
O     -0.708404   -3.716611   -1.748243 1
O     -5.381778   -4.295305   -2.194654 1
O     -5.010957   -2.694577    4.358988 1
O      4.771756   -5.528100    0.883959 1
O      8.516255   -1.417053   -0.695181 1
O      3.807226   -3.380747   -8.369485 1
O     -4.072066   -5.086125    2.637435 1
O     -4.486248    0.449964    3.523763 1
O      5.320140    4.896244    2.794398 1
O      3.895296   -3.434718   -1.213492 1
O      1.646628   -4.551131    6.712007 1
O      1.880202   -3.988281    0.519445 1
O     -2.138933   -1.920101   -2.063900 1
O     -0.391802   -0.863906   -5.719176 1
H      0.788003    0.615655    0.000000 2
H      1.476800    0.573659   -9.027306 2
H     -1.816066    1.264599   -7.033796 2
H     -2.864668   -4.957051   -1.210060 2
H     -3.802905    3.513878    1.400678 2
H      2.860433    1.355290    1.391048 2
H      0.424824   -5.575993    2.927071 2
H      6.412656   -7.451491   -2.027508 2
H     -4.197518   -6.138502   -5.006129 2
H     -5.436172    0.257692    1.465805 2
H      7.162886   -3.454804    2.388786 2
H     -5.969923    3.350190    6.199439 2
H      5.775934    2.183437    4.499461 2
H      3.198097    3.483531    0.938368 2
H     -5.664944    1.691331   -1.972662 2
H     -6.141861   -1.186677   -3.725649 2
H     -2.157761    6.312015   -2.926198 2
H      2.103198   -2.191687    0.702272 2
H     -0.682176    1.671191   -3.222128 2
H      1.825397   -6.187721   -0.400896 2
H     -1.997452    6.110943   -0.571862 2
H      5.083849   -4.807886   -6.588115 2
H      1.710901    4.395570    4.603583 2
H      1.504292    2.777117   -2.050575 2
H     -1.804570   -2.436848    2.364330 2
H     -3.326670    3.483947   -5.080519 2
H     -4.185626   -0.415163   -4.186681 2
