     192
ANGSTROM
H    -0.35370   5.83800  -4.48660   2 B
H    -3.95110   6.79390  -1.31410   2 B
H     0.66830   3.15430  -1.46760   2 B
H     6.47880  -0.92950   1.58830   2 B
H    -0.25090   0.63450   0.08240   2 B
H     2.74920  -2.66230   6.48410   2 B
H     6.25380  -1.57540  -5.45330   2 B
H     1.36090   3.07080   3.89670   2 B
H     1.34100   6.06360  -2.42460   2 B
H     1.47650  -7.44210   2.88160   2 B
H     1.01510  -0.75830  -4.29960   2 B
H     2.58440  -5.02590  -0.10810   2 B
H    -1.36070   1.64470  -1.03710   2 B
H    -0.28280  -2.76740  -7.98170   2 B
H     0.06580   0.21500   3.26140   2 B
H    -7.37340  -1.20450   0.00100   2 B
H    -0.32450  -7.19360  -0.92850   2 B
H    -6.85020  -4.35530  -1.29880   2 B
H    -2.50360   0.07380  -5.53140   2 B
H     2.96070   1.92320  -5.78060   2 B
H    -2.93650   5.08950   3.86780   2 B
H    -2.67180   3.68280  -4.57240   2 B
H    -2.53460  -1.79830   3.05630   2 B
H    -0.58150   0.03700   5.63760   2 B
H    -4.68830   3.80100  -0.25180   2 B
H    -0.03530   2.07590   5.47830   2 B
H    -4.04420   4.92320   1.88690   2 B
H     4.94680   1.79120   0.73960   2 B
H     1.96930  -6.13370   5.72050   2 B
H    -5.81130  -2.14350  -2.51240   2 B
H    -0.33730   7.69050   1.52060   2 B
H    -0.25700  -3.99240   6.56920   2 B
H     5.05380   0.79940   3.69440   2 B
H    -5.41590  -5.02140   3.58590   2 B
H    -6.64630   0.92210  -3.80690   2 B
H     1.18850  -0.05800  -1.67550   2 B
H    -2.61070  -1.92070  -0.67980   2 B
H     4.69790   2.96420  -4.02430   2 B
H    -4.25920  -3.65740  -2.85710   2 B
H    -5.06090   6.29780  -5.08860   2 B
H    -1.47610  -5.53420  -2.09080   2 B
H     1.98700   0.01690   3.39650   2 B
H     8.87720   0.04400   0.01450   2 B
H     3.73020  -4.16660   4.72050   2 B
H     3.93360   1.39650  -3.21210   2 B
H     5.60970  -7.56150  -0.05950   2 B
H     1.72210   3.02250  -5.17290   2 B
H     5.26540  -2.79530   2.20580   2 B
H    -4.11700   3.08370  -2.45520   2 B
H     5.45330  -1.06360  -6.97030   2 B
H     1.66660  -3.44680   1.53510   2 B
H    -3.19870  -0.58150  -2.04130   2 B
H    -2.76780  -5.24780   5.05240   2 B
H     3.10020  -1.03480   1.44040   2 B
H    -3.86840   0.66680   4.31990   2 B
H     2.76830   4.14390  -1.00950   2 B
H    -2.31040   1.43190   3.26280   2 B
H    -2.83060   5.63080  -3.69100   2 B
H     0.39830  -2.72820  -3.30730   2 B
H     4.95290   3.55270   1.15610   2 B
H    -2.82050  -1.59280   4.65760   2 B
H     2.07790  -4.12490  -1.93060   2 B
H    -0.72880   5.10590   3.85770   2 B
H    -0.37540   3.51350   1.34970   2 B
H    -0.24340   5.32630  -5.97310   2 B
H    -4.37440   7.52330   0.01720   2 B
H    -0.29440   2.44540  -2.49450   2 B
H     5.26380  -0.04900   2.07020   2 B

